username,password,phoneNumber,role
Abhi,123,1234567890,patient
dhanesh,123,7890123456,patient
snega,123,6890123457,patient
veni,123,6301050081,patient
supraja,123,8890123456,patient
chaturya,123,5678901234,patient
haripriya,123,4567890123,patient
hasini,123,9014869796,patient
vinni,123,2345678901,patient
vivek_kumar,123,6543210987,patient
swati_jain,123,5432109876,patient
kash_mishra,123,4321098765,patient
meera_gupta,123,3210987654,patient
nandhu,123,9704072589,patient
vishnu_nayak,123,6767676767,patient
nagavishnu_g,123,7878787878,patient
venkatesha,123,1212121212,patient
raja,123,1231231233,patient
KKR,123,1234123459,patient
Chandu,123,8989898989,patient
venkatesh,123,7878787879,patient
hp,123,1231231231,patient
sita,123,5656565656,patient
